Instructor,Name,School,Panel Debate,Volte Face,Elevator Pitch,Cold Reading,Original Oratory
Ms. Nairobi,Wilhelmina Lou Rosalie,Notre Dame,Panel Debate,Volte Face,Elevator Pitch,,
Ms. Nairobi,Bridget Delia Kittie,Virginia Tech,,Volte Face,,Cold Reading,
Ms. Tokyo,Lilla Eleanor ,Florida,,Volte Face,,Cold Reading,
Ms. Tokyo,Malinda Barbara Angie,Virginia,Panel Debate,,,Cold Reading,
Ms. Tokyo,Vina Iva ,Berkeley,,Volte Face,,Cold Reading,
Ms. Tokyo,Freda Louisa Georgiana,Berkeley,Panel Debate,Volte Face,,Cold Reading,
Ms. Tokyo,Gertie Maria Lila,Florida,Panel Debate,Volte Face,,,Original Oratory
Ms. Tokyo,Jeannette Mayme Regina,Virginia,Panel Debate,Volte Face,,Cold Reading,
Ms. Tokyo,Louella Evelyn ,Berkeley,Panel Debate,Volte Face,,Cold Reading,
Ms. Tokyo,Mandy Estelle Wilhelmina,Berkeley,,,,Cold Reading,Original Oratory
Ms. Tokyo,Roberta Nina Bridget,Florida State,,,Elevator Pitch,,Original Oratory
Ms. Tokyo,Cassie Betty Lilla,Notre Dame,,Volte Face,,Cold Reading,Original Oratory
Mr. Berlin,Corinne Marion Malinda,Virginia Tech,,,Elevator Pitch,Cold Reading,
Mr. Berlin,Ivy Bettie ,Oxford,Panel Debate,Volte Face,Elevator Pitch,,
Mr. Berlin,Melissa Dorothy Freda,Harvard,,,Elevator Pitch,Cold Reading,Original Oratory
Mr. Berlin,Lyda Luella Gertie,Yale,,,Elevator Pitch,Cold Reading,
Mr. Berlin,Naomi Inez ,Stanford,,,Elevator Pitch,Cold Reading,
Mr. Berlin,Norma Lela ,Stanford,,,Elevator Pitch,Cold Reading,
Mr. Berlin,Bell Rosie ,Stanford,,,Elevator Pitch,Cold Reading,
Mr. Berlin,Margie Allie Roberta,Stanford,,Volte Face,Elevator Pitch,Cold Reading,
Mr. Berlin,Lydia Mary Cassie,Florida,,Volte Face,,Cold Reading,
Mr. Berlin,Elsie Anna ,Virginia,,Volte Face,Elevator Pitch,Cold reading,
Mr. Berlin,Kate Emma ,Berkeley,,Volte Face,Elevator Pitch,,
Mr. Berlin,Susan Elizabeth Melissa,Berkeley,,Volte Face,,Cold Reading,
Mr. Berlin,Mollie Minnie Lyda,Florida State,,,,Cold reading,Original Oratory
Ms. Lisbon,Alma Margaret ,Notre Dame,Panel Debate,Volte Face,,,
Ms. Lisbon,Addie Ida ,Virginia Tech,,Volte Face,,Cold Reading,
Ms. Lisbon,Georgia Alice ,Florida,,,Elevator Pitch,,Original Oratory
Ms. Lisbon,Eliza Bertha ,Virginia,Panel Debate,Volte Face,,Cold Reading,
Ms. Lisbon,Lulu Sarah Mary,Berkeley,,Volte Face,Elevator Pitch,,
Ms. Lisbon,Nannie Annie ,Berkeley,,Volte Face,,Cold Reading,
Ms. Lisbon,Lottie Clara Emma,Florida,,Volte Face,Elevator Pitch,Cold Reading,
Ms. Lisbon,Amanda Ella ,Virginia,Panel Debate,,Elevator Pitch,Cold Reading,
Ms. Lisbon,Belle Florence ,Berkeley,,Volte Face,Elevator Pitch,Cold Reading,
Ms. Lisbon,Charlotte Cora ,Berkeley,,,Elevator Pitch,Cold Reading,
Ms. Lisbon,Rebecca Martha Ida,Florida State,,Volte Face,Elevator Pitch,Cold Reading,
Ms. Lisbon,Ruth Laura ,Notre Dame,Panel Debate,Volte Face,,Cold Reading,
Ms. Lisbon,Viola Nellie ,Virginia Tech,,Volte Face,Elevator Pitch,,
Mr. Denver,Olive Grace ,Oxford,Panel Debate,Volte Face,,,
Mr. Denver,Amelia Carrie Annie,Harvard,Panel Debate,Volte Face,,,
Mr. Denver,Hannah Maude ,Yale,Panel Debate,Volte Face,,,
Mr. Denver,Jane Mabel Ella,Florida,Panel Debate,Volte Face,,Cold Reading,
Mr. Denver,Virginia Bessie ,Virginia,Panel Debate,Volte Face,,,
Mr. Denver,Emily Jennie ,Berkeley,Panel Debate,Volte Face,,Cold Reading,
Mr. Denver,Matilda Gertrude ,Berkeley,,,Elevator Pitch,Cold Reading,Original Oratory
Ms. Nairobi,Irene Julia Laura,Florida,Panel Debate,Volte Face,,,
Ms. Nairobi,Kathryn Hattie ,Virginia,Panel Debate,Volte Face,,,
Ms. Nairobi,Esther Edith Grace,Berkeley,Panel Debate,Volte Face,,,
Ms. Nairobi,Willie Mattie ,Berkeley,Panel Debate,,Elevator Pitch,Cold Reading,
Ms. Nairobi,Henrietta Rose ,Florida State,Panel Debate,Volte Face,Elevator Pitch,,
Ms. Nairobi,Ollie Catherine ,Notre Dame,Panel Debate,Volte Face,,,
Ms. Nairobi,Amy Lillian Bessie,Virginia Tech,Panel Debate,Volte Face,,,
Mr. Denver,Rachel Ada ,Oxford,,Volte Face,,Cold Reading,
Mr. Denver,Sara Lillie Gertrude,Harvard,,,Elevator Pitch,Cold Reading,
